,population_density,rucc,longitude,latitude,elevation,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,physiographic_region_provcode,physiographic_region_fencode,cell_tower_distance
125,0.77,3.0,-113.84619,36.9166792,604.5923461914062,563.371437299767,1724190497993,1.0,-122,-16,-91,22.0,22a,
126,0.77,3.0,-113.84614341559052,36.91669932757876,604.027587890625,563.4230231828107,1724190498996,1.0,-122,-16,-91,22.0,22a,
127,0.77,3.0,-113.84619,36.9166792,604.5923461914062,563.371437299767,1724190498996,1.0,-122,-16,-91,22.0,22a,
128,0.77,3.0,-113.84613186819264,36.91670431682652,603.89013671875,563.4358103518175,1724190499997,1.0,-120,-15,-91,22.0,22a,
129,0.77,3.0,-113.84619,36.9166792,604.5923461914062,563.371437299767,1724190499997,1.0,-120,-15,-91,22.0,22a,
130,0.77,3.0,-113.8461121167264,36.91671285078019,603.6547241210938,563.4576824081339,1724190501003,1.0,-120,-15,-91,22.0,22a,
131,0.77,3.0,-113.84619,36.9166792,604.5923461914062,563.371437299767,1724190501003,1.0,-120,-15,-91,22.0,22a,
132,0.77,3.0,-113.84607385288136,36.91672938331895,603.2042236328125,563.5000544003359,1724190502001,1.0,-124,-16,-93,22.0,22a,
133,0.77,3.0,-113.84619,36.9166792,604.5923461914062,563.371437299767,1724190502001,1.0,-124,-16,-93,22.0,22a,
134,0.77,3.0,-113.84595735662305,36.91677971748955,601.9153442382812,563.6290581254556,1724190503002,1.0,-124,-16,-93,22.0,22a,
136,0.77,3.0,-113.6996882,36.973839,797.2988891601562,745.956079495475,1724191094880,2.0,-128,-17,-91,22.0,22a,
139,0.77,3.0,-113.69933053166385,36.973807487083846,798.2400512695312,746.5057005360543,1724191095880,2.0,-128,-17,-91,22.0,22a,
140,0.77,3.0,-113.6996882,36.973839,797.2988891601562,745.956079495475,1724191095880,2.0,-128,-17,-91,22.0,22a,
141,0.77,3.0,-113.69929448204012,36.973804310876574,798.4136352539062,746.5610971974318,1724191096881,3.0,-131,-18,-103,22.0,22a,
142,0.77,3.0,-113.6996882,36.973839,797.2988891601562,745.956079495475,1724191096881,3.0,-131,-18,-103,22.0,22a,
143,0.77,3.0,-113.6996882,36.973839,797.2988891601562,745.956079495475,1724191096881,3.0,-127,-19,-99,22.0,22a,
144,0.77,3.0,-113.6996882,36.973839,797.2988891601562,745.956079495475,1724191096881,3.0,-129,-18,-91,22.0,22a,
147,0.77,3.0,-113.6992504004103,36.97380042699711,798.6581420898438,746.6288364653561,1724191097883,3.0,-129,-18,-91,22.0,22a,
148,0.77,3.0,-113.6996882,36.973839,797.2988891601562,745.956079495475,1724191097883,3.0,-127,-19,-99,22.0,22a,
149,0.77,3.0,-113.6996882,36.973839,797.2988891601562,745.956079495475,1724191097883,3.0,-131,-18,-103,22.0,22a,
150,0.77,3.0,-113.6996882,36.973839,797.2988891601562,745.956079495475,1724191097883,3.0,-129,-18,-91,22.0,22a,
153,0.77,3.0,-113.69919379142344,36.973795439375685,799.000244140625,746.7158262464493,1724191098889,1.0,-128,-20,-89,22.0,22a,
154,0.77,3.0,-113.6996882,36.973839,797.2988891601562,745.956079495475,1724191098889,1.0,-128,-20,-89,22.0,22a,
155,0.77,3.0,-113.6991263316696,36.97378949573083,799.41162109375,746.8194901617566,1724191099889,1.0,-128,-20,-89,22.0,22a,
156,0.77,3.0,-113.6996882,36.973839,797.2988891601562,745.956079495475,1724191099889,1.0,-128,-20,-89,22.0,22a,
157,0.77,3.0,-113.6996882,36.973839,797.2988891601562,745.956079495475,1724191100892,3.0,-126,-19,-87,22.0,22a,
159,0.77,3.0,-113.6996882,36.973839,797.2988891601562,745.956079495475,1724191101892,3.0,-126,-19,-87,22.0,22a,
161,0.77,3.0,-113.6996882,36.973839,797.2988891601562,745.956079495475,1724191102901,3.0,-126,-19,-87,22.0,22a,
163,0.77,3.0,-113.698381355117,36.9737238584315,802.0326538085938,747.9642791929945,1724191103898,3.0,-125,-20,-87,22.0,22a,
164,0.77,3.0,-113.6996882,36.973839,797.2988891601562,745.956079495475,1724191103898,3.0,-125,-20,-87,22.0,22a,
165,0.77,3.0,-113.6996882,36.973839,797.2988891601562,745.956079495475,1724191104912,3.0,-125,-20,-87,22.0,22a,
167,0.77,3.0,-113.69574276058394,36.97349138102189,804.95703125,752.0189491941044,1724191105911,3.0,-127,-20,-87,22.0,22a,
169,0.77,3.0,-113.69172929635036,36.973137768613135,795.0389404296875,758.1863511289171,1724191106914,3.0,-127,-20,-87,22.0,22a,
171,0.77,3.0,-113.68772783649636,36.97278521386861,819.5189208984375,764.3353061985209,1724191107914,3.0,-122,-17,-85,22.0,22a,
173,0.77,3.0,-113.6876278,36.9727764,820.6005859375,764.489030075261,1724191108914,3.0,-122,-17,-85,22.0,22a,
174,0.77,3.0,-113.68750077819276,36.972835728928445,821.1983642578125,764.7284826476637,1724191109913,3.0,-124,-20,-85,22.0,22a,
175,0.77,3.0,-113.6876278,36.9727764,820.6005859375,764.489030075261,1724191109913,3.0,-124,-20,-85,22.0,22a,
176,0.77,3.0,-113.6876278,36.9727764,820.6005859375,764.489030075261,1724191110921,3.0,-124,-20,-85,22.0,22a,
179,0.77,3.0,-113.6876278,36.9727764,820.6005859375,764.489030075261,1724191111920,3.0,-125,-20,-87,22.0,22a,
180,0.77,3.0,-113.6876278,36.9727764,820.6005859375,764.489030075261,1724191112921,3.0,-125,-20,-87,22.0,22a,
181,0.77,3.0,-113.6876278,36.9727764,820.6005859375,764.489030075261,1724191113924,3.0,-127,-20,-87,22.0,22a,
183,0.77,3.0,-113.6876278,36.9727764,820.6005859375,764.489030075261,1724191114926,3.0,-127,-20,-87,22.0,22a,
185,0.77,3.0,-113.68739076847008,36.97288711190831,820.8274536132812,764.9358652353602,1724191115930,3.0,-124,-20,-85,22.0,22a,
186,0.77,3.0,-113.6876278,36.9727764,820.6005859375,764.489030075261,1724191115930,3.0,-124,-20,-85,22.0,22a,
187,0.77,3.0,-113.6876278,36.9727764,820.6005859375,764.489030075261,1724191116929,3.0,-124,-20,-85,22.0,22a,
189,0.77,3.0,-113.6876278,36.9727764,820.6005859375,764.489030075261,1724191117932,3.0,-126,-20,-87,22.0,22a,
191,0.77,3.0,-113.6876278,36.9727764,820.6005859375,764.489030075261,1724191118936,3.0,-126,-20,-87,22.0,22a,
193,0.77,3.0,-113.6876278,36.9727764,820.6005859375,764.489030075261,1724191119934,3.0,-126,-20,-87,22.0,22a,
195,0.77,3.0,-113.6876278,36.9727764,820.6005859375,764.489030075261,1724191120943,3.0,-126,-20,-87,22.0,22a,
197,0.77,3.0,-113.68597117624958,36.97355017037907,823.4412841796875,767.6119805916115,1724191121943,3.0,-129,-20,-87,22.0,22a,
199,0.77,3.0,-113.6842808470312,36.97433968379738,828.419189453125,770.7984702842867,1724191122946,3.0,-129,-20,-87,22.0,22a,
201,0.77,3.0,-113.682604,36.9751229,825.7876586914062,773.959544306432,1724191123950,2.0,-126,-20,-87,22.0,22a,
203,0.77,3.0,-113.68242757296382,36.975164973698654,825.726318359375,773.8810217017125,1724191124948,2.0,-126,-20,-87,22.0,22a,
204,0.77,3.0,-113.682604,36.9751229,825.7876586914062,773.959544306432,1724191124948,2.0,-126,-20,-87,22.0,22a,
205,0.77,3.0,-113.68240648182342,36.97517000343958,825.7468872070312,773.8716346411143,1724191125954,2.0,-128,-20,-87,22.0,22a,
206,0.77,3.0,-113.682604,36.9751229,825.7876586914062,773.959544306432,1724191125954,2.0,-128,-20,-87,22.0,22a,
207,0.77,3.0,-113.682604,36.9751229,825.7876586914062,773.959544306432,1724191126957,2.0,-128,-20,-87,22.0,22a,
209,0.77,3.0,-113.682604,36.9751229,825.7876586914062,773.959544306432,1724191127958,3.0,-132,-20,-89,22.0,22a,
211,0.77,3.0,-113.682604,36.9751229,825.7876586914062,773.959544306432,1724191128958,3.0,-132,-20,-89,22.0,22a,
213,0.77,3.0,-113.68154070020404,36.97537647199302,824.8596801757812,773.4863001178809,1724191131966,1.0,-127,-16,-93,22.0,22a,
214,0.77,3.0,-113.682604,36.9751229,825.7876586914062,773.959544306432,1724191131966,1.0,-127,-16,-93,22.0,22a,
215,0.77,3.0,-113.68171850598772,36.97533406949552,825.2999877929688,773.5654363635063,1724191132967,1.0,-127,-16,-93,22.0,22a,
216,0.77,3.0,-113.682604,36.9751229,825.7876586914062,773.959544306432,1724191132967,1.0,-127,-16,-93,22.0,22a,
217,0.77,3.0,-113.68083301197548,36.97554523899104,823.6483154296875,773.1713284205806,1724191133968,1.0,-127,-16,-93,22.0,22a,
219,0.77,3.0,-113.67902969354078,36.975975288024514,821.939208984375,772.3687231980706,1724191134972,1.0,-127,-16,-93,22.0,22a,
221,0.77,3.0,-113.6787944,36.9760314,822.22802734375,772.2640008035,1724191135973,1.0,-128,-16,-93,22.0,22a,
223,0.77,3.0,-113.6786028804858,36.97609666260675,822.6631469726562,772.656898009009,1724191136980,1.0,-128,-16,-93,22.0,22a,
224,0.77,3.0,-113.6787944,36.9760314,822.22802734375,772.2640008035,1724191136980,1.0,-128,-16,-93,22.0,22a,
225,0.77,3.0,-113.6785801323896,36.97610441429755,822.8280639648438,772.7035651252376,1724191137981,1.0,-128,-16,-91,22.0,22a,
226,0.77,3.0,-113.6787944,36.9760314,822.22802734375,772.2640008035,1724191137981,1.0,-128,-16,-91,22.0,22a,
227,0.77,3.0,-113.67854984137333,36.976114736330224,823.067626953125,772.765706341974,1724191138981,1.0,-128,-16,-91,22.0,22a,
228,0.77,3.0,-113.6787944,36.9760314,822.22802734375,772.2640008035,1724191138981,1.0,-128,-16,-91,22.0,22a,
229,0.77,3.0,-113.6785075330557,36.97612915340468,823.3214111328125,772.8525007338544,1724191139987,1.0,-128,-18,-91,22.0,22a,
230,0.77,3.0,-113.6787944,36.9760314,822.22802734375,772.2640008035,1724191139987,1.0,-128,-18,-91,22.0,22a,
231,0.77,3.0,-113.6784510494354,36.97614840088614,823.38818359375,772.9683753832824,1724191140990,1.0,-128,-18,-91,22.0,22a,
232,0.77,3.0,-113.6787944,36.9760314,822.22802734375,772.2640008035,1724191140990,1.0,-128,-18,-91,22.0,22a,
233,0.77,3.0,-113.67836655945362,36.97617719187633,823.4249877929688,773.1417043407955,1724191141990,2.0,-125,-17,-89,22.0,22a,
234,0.77,3.0,-113.6787944,36.9760314,822.22802734375,772.2640008035,1724191141990,2.0,-125,-17,-89,22.0,22a,
235,0.77,3.0,-113.67821781852363,36.976227877159566,823.9140625,773.4468424149985,1724191143002,2.0,-125,-17,-89,22.0,22a,
236,0.77,3.0,-113.6787944,36.9760314,822.22802734375,772.2640008035,1724191143002,2.0,-125,-17,-89,22.0,22a,
237,0.77,3.0,-113.6787944,36.9760314,822.22802734375,772.2640008035,1724191144001,2.0,-130,-20,-89,22.0,22a,
239,0.77,3.0,-113.67707662020628,36.97661675438349,827.1080322265625,775.7879805057412,1724191145005,1.0,-126,-20,-87,22.0,22a,
241,0.77,3.0,-113.6753415066104,36.97720801547116,830.2251586914062,779.3475200435247,1724191146006,1.0,-126,-20,-87,22.0,22a,
243,0.77,3.0,-113.6750971,36.9772913,831.4387817382812,779.848913724671,1724191147009,1.0,-126,-20,-87,22.0,22a,
245,0.77,3.0,-113.6750971,36.9772913,831.4387817382812,779.848913724671,1724191148010,2.0,-125,-20,-89,22.0,22a,
247,0.77,3.0,-113.67492162791642,36.97741319242039,831.5126342773438,780.2764958000191,1724191149010,2.0,-125,-20,-89,22.0,22a,
248,0.77,3.0,-113.6750971,36.9772913,831.4387817382812,779.848913724671,1724191149010,2.0,-125,-20,-89,22.0,22a,
249,0.77,3.0,-113.6750971,36.9772913,831.4387817382812,779.848913724671,1724191150010,2.0,-128,-20,-89,22.0,22a,
251,0.77,3.0,-113.67486238674516,36.977454344549,831.5484008789062,780.4208518846419,1724191151014,2.0,-128,-20,-89,22.0,22a,
252,0.77,3.0,-113.6750971,36.9772913,831.4387817382812,779.848913724671,1724191151014,2.0,-128,-20,-89,22.0,22a,
253,0.77,3.0,-113.6750971,36.9772913,831.4387817382812,779.848913724671,1724191152017,2.0,-126,-20,-87,22.0,22a,
255,0.77,3.0,-113.6750971,36.9772913,831.4387817382812,779.848913724671,1724191153024,2.0,-126,-20,-87,22.0,22a,
257,0.77,3.0,-113.6750971,36.9772913,831.4387817382812,779.848913724671,1724191154021,3.0,-127,-20,-87,22.0,22a,
259,0.77,3.0,-113.67439214317623,36.97778100122065,833.5128784179688,781.5667191759607,1724191155027,3.0,-127,-20,-87,22.0,22a,
260,0.77,3.0,-113.6750971,36.9772913,831.4387817382812,779.848913724671,1724191155027,3.0,-127,-20,-87,22.0,22a,
261,0.77,3.0,-113.6736899893617,36.97826875531915,844.4080810546875,783.2776943868874,1724191156029,2.0,-131,-20,-85,22.0,22a,
263,0.77,3.0,-113.67226582283688,36.97925805858156,839.054931640625,786.7480360268277,1724191157031,2.0,-131,-20,-85,22.0,22a,
265,0.77,3.0,-113.672091,36.9793795,839.9349365234375,787.174036048497,1724191158034,2.0,-130,-20,-87,22.0,22a,
267,0.77,3.0,-113.672091,36.9793795,839.9349365234375,787.174036048497,1724191159044,2.0,-130,-20,-87,22.0,22a,
269,0.77,3.0,-113.67186743708255,36.97939767272387,839.6627197265625,787.6571609948081,1724191160045,2.0,-127,-16,-93,22.0,22a,
270,0.77,3.0,-113.672091,36.9793795,839.9349365234375,787.174036048497,1724191160045,2.0,-127,-16,-93,22.0,22a,
