start_gps,end_gps,start_census_tract_id,association_length,end_census_tract_id,population_density,associated_pci
"(32.8677012, -96.7697101, 2)","(32.8729579, -96.7700036, 2)",48113007822,0.5850357986216196,48113007822,3261.32,189
"(32.8729579, -96.7700036, 2)","(32.8729579, -96.7700036, 2)",48113007822,0.0,48113007822,3261.32,273
"(32.8729579, -96.7700036, 2)","(32.8748292, -96.7700476, 2)",48113007822,0.20757222943057613,48113007822,3261.32,489
"(32.8748292, -96.7700476, 2)","(32.8748292, -96.7700476, 2)",48113007822,0.0,48113007822,3261.32,12
"(32.8748292, -96.7700476, 2)","(32.8748292, -96.7700476, 2)",48113007822,0.0,48113007822,3261.32,357
"(32.8748292, -96.7700476, 2)","(32.87546829240781, -96.7700372913666, 2)",48113007822,0.07088336592682283,48113007822,3261.32,381
"(32.87546829240781, -96.7700372913666, 2)","(32.8778112, -96.7699995, 2)",48113007822,0.25985790674590914,48113007822,3261.32,309
"(32.8778112, -96.7699995, 2)","(32.8778112, -96.7699995, 2)",48113007822,0.0,48113007822,3261.32,305
"(32.8778112, -96.7699995, 2)","(32.882858, -96.7699949, 2)",48113007822,0.5597022662973156,48113007822,3261.32,424
"(32.882858, -96.7699949, 2)","(32.88532, -96.769871, 2)",48113007822,0.2732878289705158,48113007822,3261.32,16
"(32.88532, -96.769871, 2)","(32.89173437945055, -96.76891347567764, 2)",48113007822,0.7188883758774112,48113007823,,411
"(32.89173437945055, -96.76891347567764, 2)","(32.8992516, -96.7689673, 2)",48113007823,0.8350694232608741,48113007823,5090.01,438
"(32.8992516, -96.7689673, 2)","(32.9066153, -96.768829, 2)",48113007823,0.8172846960843847,48113007805,,223
"(32.9066153, -96.768829, 2)","(32.9097457, -96.7687464, 2)",48113007805,0.3472562960821614,48113007829,,370
"(32.9097457, -96.7687464, 2)","(32.9097457, -96.7687464, 2)",48113007829,0.0,48113007829,4129.89,201
"(32.9097457, -96.7687464, 2)","(32.91234819815612, -96.76827291739396, 2)",48113007829,0.29200346983475767,48113007829,4129.89,266
"(32.91234819815612, -96.76827291739396, 2)","(32.9125742, -96.7682318, 2)",48113007829,0.025357679086687988,48113007829,4129.89,160
"(32.9125742, -96.7682318, 2)","(32.9125742, -96.7682318, 2)",48113007829,0.0,48113007829,4129.89,272
"(32.9125742, -96.7682318, 2)","(32.9177412, -96.7661249, 2)",48113007829,0.6059809335330825,48113007829,4129.89,315
