index,population_density,rucc,longitude,latitude,elevation,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,physiographic_region_provcode,physiographic_region_fencode,cell_tower_distance,distance_to_next_point_meters,cum_distance
41277,267.92,1,-96.2952085,32.9794892,168.600189208984,138.954625237076,1724422941957,3,-89,-13,-61,3,3f,NaN,0.0179187610980399,63.2911736167053
41278,267.92,1,-96.2952084062351,32.9794893406473,168.600112915039,138.930682476771,1724422942957,3,-91,-12,-59,3,3f,NaN,0.0182462080776588,63.3094198247829
41279,267.92,1,-96.2952083107568,32.9794894838648,168.600021362305,138.90630218379,1724422943960,3,-91,-12,-59,3,3f,NaN,0.00205565819339492,63.3114754829763
41280,267.92,1,-96.2952083,32.9794895,168.600006103516,138.903555450882,1724422944960,4,-92,-12,-63,3,3f,NaN,0,63.3114754829763
41281,267.92,1,-96.2952083,32.9794895,168.600006103516,138.903555450882,1724422945963,4,-92,-12,-63,3,3f,NaN,0,63.3114754829763
41282,267.92,1,-96.2952083,32.9794895,168.600006103516,138.903555450882,1724422946962,4,-86,-11,-59,3,3f,NaN,0.0143541420227507,63.3258296249991
41283,267.92,1,-96.2952082011,32.9794895989,168.59992980957,138.903555450882,1724422947964,4,-86,-11,-59,3,3f,NaN,0.000159651056088646,63.3259892760552
41284,267.92,1,-96.2952082,32.9794896,168.59992980957,138.903555450882,1724422948966,4,-89,-11,-59,3,3f,NaN,0,63.3259892760552
41285,267.92,1,-96.2952082,32.9794896,168.59992980957,138.903555450882,1724422949968,4,-89,-11,-59,3,3f,NaN,0,63.3259892760552
41286,267.92,1,-96.2952082,32.9794896,168.59992980957,138.903555450882,1724422950972,4,-87,-13,-55,3,3f,NaN,0,63.3259892760552
41287,267.92,1,-96.2952082,32.9794896,168.59992980957,138.903555450882,1724422951973,4,-87,-13,-55,3,3f,NaN,0,63.3259892760552
41288,267.92,1,-96.2952082,32.9794896,168.59992980957,138.903555450882,1724422952975,4,-87,-13,-55,3,3f,NaN,0.0104982359525205,63.3364875120077
41289,267.92,1,-96.2952082,32.9794895055871,168.599960327148,138.947554268078,1724422953983,4,-87,-13,-55,3,3f,NaN,0.0105298141686736,63.3470173261763
41290,267.92,1,-96.2952082,32.9794894108902,168.600006103516,138.991685478906,1724422954983,4,-87,-14,-55,3,3f,NaN,0.00121093546760455,63.3482282616439
41291,267.92,1,-96.2952082,32.9794894,168.600006103516,138.996760568151,1724422955984,4,-87,-14,-55,3,3f,NaN,0,63.3482282616439
41292,267.92,1,-96.2952082,32.9794894,168.600006103516,138.996760568151,1724422956984,3,-86,-10,-55,3,3f,NaN,0,63.3482282616439
41293,267.92,1,-96.2952082,32.9794894,168.600006103516,138.996760568151,1724422957990,3,-86,-10,-55,3,3f,NaN,0,63.3482282616439
41294,267.92,1,-96.2952082,32.9794894,168.600006103516,138.996760568151,1724422958991,5,-87,-13,-57,3,3f,NaN,0,63.3482282616439
41295,267.92,1,-96.2952082,32.9794894,168.600006103516,138.996760568151,1724422959993,5,-87,-13,-57,3,3f,NaN,0,63.3482282616439
41296,267.92,1,-96.2952082,32.9794894,168.600006103516,138.996760568151,1724422960998,4,-86,-13,-55,3,3f,NaN,0,63.3482282616439
41297,267.92,1,-96.2952082,32.9794894,168.600006103516,138.996760568151,1724422961998,4,-86,-13,-55,3,3f,NaN,0,63.3482282616439
41298,267.92,1,-96.2952082,32.9794894,168.600006103516,138.996760568151,1724422963002,4,-87,-14,-55,3,3f,NaN,0.0168919164986091,63.3651201781426
41299,267.92,1,-96.295208341774,32.979489305484,168.60009765625,138.961360103785,1724422964004,4,-87,-14,-55,3,3f,NaN,0.0170623664178257,63.3821825445604
41300,267.92,1,-96.2952084849786,32.9794892100143,168.600189208984,138.9256024198,1724422965005,5,-89,-13,-59,3,3f,NaN,0.00178975363897156,63.3839722981994
41301,267.92,1,-96.2952085,32.9794892,168.600189208984,139.017798762711,1724422966008,5,-89,-13,-59,3,3f,NaN,0,63.3839722981994
41302,267.92,1,-96.2952085,32.9794892,168.600189208984,139.019306349787,1724422967008,5,-90,-12,-59,3,3f,NaN,0,63.3839722981994
41303,267.92,1,-96.2952085,32.9794892,168.600189208984,139.019306349787,1724422968009,5,-90,-12,-59,3,3f,NaN,0,63.3839722981994
