ci,mcc,mnc,tac,lat,lon,range
202490377,310,410,27651,35.088169,-101.300438,1000.0
203019286,310,410,27651,35.092688,-101.311977,4293.0
203015448,310,410,27651,35.049426,-101.225785,14146.0
203019279,310,410,27651,35.111526,-101.362337,1008.0
203015447,310,410,27651,35.023455,-101.09665,8381.0
203015426,310,410,27651,35.006483,-101.048435,21703.0
203019266,310,410,27651,35.033497,-101.159081,1000.0
203014161,310,410,27651,35.003968,-101.039037,3617.0
203013634,310,410,27651,35.014755,-101.061623,1000.0
203369480,310,410,27651,34.964388,-100.946538,3993.0
203369481,310,410,27651,34.92021,-100.839792,6316.0
203566858,310,410,27651,34.923775,-100.853439,1000.0
203369481,310,410,27651,34.92021,-100.839792,6316.0
203566858,310,410,27651,34.923775,-100.853439,1000.0
203736848,310,410,27651,34.912106,-100.80765,8347.0
203653379,310,410,27651,34.912119,-100.809082,1000.0
203745552,310,410,27651,34.91032,-100.7939,1000.0
203745752,310,410,27651,-1.0,-1.0,-1.0
203653591,310,410,27651,-1.0,-1.0,-1.0
203566870,310,410,27651,34.895449,-100.762559,1290.0
203369495,310,410,27651,34.931124,-100.868256,7140.0
203653378,310,410,27651,34.829336,-100.622113,24468.0
202848527,310,410,27651,34.828796,-100.614586,1000.0
203653392,310,410,27651,34.839441,-100.62832,5571.0
202491954,310,410,27651,34.832718,-100.620071,1000.0
202491912,310,410,27651,34.823509,-100.606544,1000.0
202491913,310,410,27651,34.785397,-100.579208,1000.0
203568392,310,410,27651,34.657037,-100.48072,3796.0
202405640,310,410,27651,34.795003,-100.580996,1003.0
202491955,310,410,27651,34.788326,-100.580528,1000.0
202405682,310,410,27651,34.784425,-100.577837,7985.0
203064336,310,410,27651,34.679925,-100.497574,19849.0
202405641,310,410,27651,34.697185,-100.505675,7381.0
203568392,310,410,27651,34.657037,-100.48072,3796.0
202491913,310,410,27651,34.785397,-100.579208,1000.0
202405641,310,410,27651,34.697185,-100.505675,7381.0
203064591,310,410,27651,34.678032,-100.499495,26391.0
202848528,310,410,27651,34.788944,-100.580864,1000.0
203064791,310,410,27651,34.811523,-100.589912,1000.0
203064793,310,410,27651,34.531696,-100.422058,1000.0
203064593,310,410,27651,34.550996,-100.437333,13964.0
203568408,310,410,27651,34.528973,-100.416512,1000.0
203064592,310,410,27651,34.502247,-100.368831,18357.0
203064792,310,410,27651,34.490696,-100.349403,1000.0
