"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Census Tract","47037015618","TN","47037015618","=""47037015618""","4990.14","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015619","TN","47037015619","=""47037015619""","1975.66","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015620","TN","47037015620","=""47037015620""","5190.25","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015622","TN","47037015622","=""47037015622""","1472.96","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015623","TN","47037015623","=""47037015623""","2750.67","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015624","TN","47037015624","=""47037015624""","3149.98","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015625","TN","47037015625","=""47037015625""","1602.91","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015626","TN","47037015626","=""47037015626""","5287.17","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015627","TN","47037015627","=""47037015627""","2312.81","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015628","TN","47037015628","=""47037015628""","5508.09","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015629","TN","47037015629","=""47037015629""","2538.11","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015630","TN","47037015630","=""47037015630""","1200.44","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015632","TN","47037015632","=""47037015632""","2805.77","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015633","TN","47037015633","=""47037015633""","890.83","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015634","TN","47037015634","=""47037015634""","2696.49","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015635","TN","47037015635","=""47037015635""","383.64","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015636","TN","47037015636","=""47037015636""","4335.12","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015637","TN","47037015637","=""47037015637""","902.80","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015700","TN","47037015700","=""47037015700""","1011.14","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015804","TN","47037015804","=""47037015804""","8124.86","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015805","TN","47037015805","=""47037015805""","3400.24","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015806","TN","47037015806","=""47037015806""","3686.69","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037015900","TN","47037015900","=""47037015900""","1362.90","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037016000","TN","47037016000","=""47037016000""","3575.35","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037016100","TN","47037016100","=""47037016100""","1862.06","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037016200","TN","47037016200","=""47037016200""","5147.57","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037016300","TN","47037016300","=""47037016300""","6653.93","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037016400","TN","47037016400","=""47037016400""","10070.27","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037016500","TN","47037016500","=""47037016500""","7674.10","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037016600","TN","47037016600","=""47037016600""","5980.11","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037016700","TN","47037016700","=""47037016700""","4073.83","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037016800","TN","47037016800","=""47037016800""","6023.93","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037016900","TN","47037016900","=""47037016900""","4996.20","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037017000","TN","47037017000","=""47037017000""","7593.15","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037017100","TN","47037017100","=""47037017100""","5915.28","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037017200","TN","47037017200","=""47037017200""","1092.06","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037017300","TN","47037017300","=""47037017300""","3733.19","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037017401","TN","47037017401","=""47037017401""","2807.44","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037017402","TN","47037017402","=""47037017402""","4473.72","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037017500","TN","47037017500","=""47037017500""","2623.30","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037017701","TN","47037017701","=""47037017701""","1210.05","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037017702","TN","47037017702","=""47037017702""","4262.10","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037017800","TN","47037017800","=""47037017800""","3670.33","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037017901","TN","47037017901","=""47037017901""","3008.29","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47037017902","TN","47037017902","=""47037017902""","3211.28","2019-2023","2022","Census","Tennessee (State)"
