population_density,rucc,longitude,latitude,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,cell_tower_distance
1.0,7.0,-103.59489303930933,35.172527537458826,1210.4512119495307,1724263122151.0,6.0,-105,-12,-85,
1.0,7.0,-103.59489303930933,35.172527537458826,1210.4512119495307,1724263122151.0,6.0,-108,-14,-81,
1.0,7.0,-103.59449186519451,35.172527960840306,1210.1368510897685,1724263123163.0,7.0,-108,-13,-73,
1.0,7.0,-103.59449186519451,35.172527960840306,1210.1368510897685,1724263123163.0,7.0,-104,-11,-83,
1.0,7.0,-103.59449186519451,35.172527960840306,1210.1368510897685,1724263123163.0,7.0,-109,-12,-83,
1.0,7.0,-103.59409395630114,35.17252838077582,1209.8250488642157,1724263124169.0,7.0,-108,-13,-73,
1.0,7.0,-103.59409395630114,35.17252838077582,1209.8250488642157,1724263124169.0,7.0,-104,-11,-83,
1.0,7.0,-103.59409395630114,35.17252838077582,1209.8250488642157,1724263124169.0,7.0,-109,-12,-83,
1.0,7.0,-103.59369758116816,35.17252879909267,1209.51444849646,1724263125169.0,7.0,-109,-13,-73,
1.0,7.0,-103.59369758116816,35.17252879909267,1209.51444849646,1724263125169.0,7.0,-103,-11,-81,
1.0,7.0,-103.59369758116816,35.17252879909267,1209.51444849646,1724263125169.0,7.0,-109,-14,-85,
1.0,7.0,-103.5932995210186,35.17252921918781,1209.2025277462362,1724263126175.0,7.0,-109,-13,-73,
1.0,7.0,-103.5932995210186,35.17252921918781,1209.2025277462362,1724263126175.0,7.0,-103,-11,-81,
1.0,7.0,-103.5932995210186,35.17252921918781,1209.2025277462362,1724263126175.0,7.0,-109,-14,-85,
1.0,7.0,-103.59290246845124,35.172529638219586,1208.8913965394956,1724263127178.0,7.0,-109,-15,-75,
1.0,7.0,-103.59290246845124,35.172529638219586,1208.8913965394956,1724263127178.0,7.0,-102,-13,-79,
1.0,7.0,-103.59290246845124,35.172529638219586,1208.8913965394956,1724263127178.0,7.0,-107,-12,-83,
1.0,7.0,-103.59250649358728,35.17253005611401,1208.5811098233696,1724263128177.0,7.0,-109,-15,-75,
1.0,7.0,-103.59250649358728,35.17253005611401,1208.5811098233696,1724263128177.0,7.0,-102,-13,-79,
1.0,7.0,-103.59250649358728,35.17253005611401,1208.5811098233696,1724263128177.0,7.0,-107,-12,-83,
1.0,7.0,-103.59210955455816,35.17253281109761,1208.2946607108015,1724263129181.0,7.0,-109,-15,-75,
1.0,7.0,-103.59210955455816,35.17253281109761,1208.2946607108015,1724263129181.0,7.0,-102,-13,-79,
1.0,7.0,-103.59210955455816,35.17253281109761,1208.2946607108015,1724263129181.0,7.0,-107,-12,-83,
1.0,7.0,-103.59171460970116,35.17253879103337,1208.0437472563829,1724263130180.0,6.0,-108,-16,-73,
1.0,7.0,-103.59171460970116,35.17253879103337,1208.0437472563829,1724263130180.0,6.0,-103,-15,-77,
1.0,7.0,-103.59171460970116,35.17253879103337,1208.0437472563829,1724263130180.0,6.0,-97,-15,-65,
1.0,7.0,-103.59131752635892,35.17254480334834,1207.7914751952655,1724263131185.0,6.0,-108,-16,-73,
