"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","chu","TimeFrame","GeoVintage","Source","Location"
"Census Tract","35049010311","NM","35049010311","=""35049010311""","2324","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010312","NM","35049010312","=""35049010312""","1846","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010315","NM","35049010315","=""35049010315""","1369","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010316","NM","35049010316","=""35049010316""","815","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010317","NM","35049010317","=""35049010317""","513","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010318","NM","35049010318","=""35049010318""","707","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010400","NM","35049010400","=""35049010400""","1741","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010500","NM","35049010500","=""35049010500""","1254","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010601","NM","35049010601","=""35049010601""","2331","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010602","NM","35049010602","=""35049010602""","1384","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010603","NM","35049010603","=""35049010603""","997","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010701","NM","35049010701","=""35049010701""","1757","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010702","NM","35049010702","=""35049010702""","745","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010800","NM","35049010800","=""35049010800""","1704","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049010900","NM","35049010900","=""35049010900""","1407","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049940300","NM","35049940300","=""35049940300""","938","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049940400","NM","35049940400","=""35049940400""","844","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049940500","NM","35049940500","=""35049940500""","982","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049940600","NM","35049940600","=""35049940600""","1728","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049940900","NM","35049940900","=""35049940900""","1530","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049980000","NM","35049980000","=""35049980000""","12","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35049980200","NM","35049980200","=""35049980200""","42","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35051962200","NM","35051962200","=""35051962200""","1966","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35051962300","NM","35051962300","=""35051962300""","1900","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35051962401","NM","35051962401","=""35051962401""","2378","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35051962402","NM","35051962402","=""35051962402""","1895","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35053940000","NM","35053940000","=""35053940000""","611","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35053978100","NM","35053978100","=""35053978100""","1871","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35053978200","NM","35053978200","=""35053978200""","983","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35053978301","NM","35053978301","=""35053978301""","1117","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35053978302","NM","35053978302","=""35053978302""","1684","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35053978303","NM","35053978303","=""35053978303""","1376","2019-2023","2022","Census","New Mexico (State)"
